,date,GB_unemp,GB_cons,SPF_unemp,SPF_cons,FRED_unemp,FRED_cons
0,1983-01-01,0.09999999999999964,3.7,-0.4261999999999997,2.851375,1.5333333333333332,3.5253610151676162
1,1983-04-01,0.0,3.0,-0.452399999999999,2.5298499999999997,0.6999999999999993,3.783785278501206
2,1983-07-01,-0.09999999999999964,2.4,-0.6714000000000002,3.0854999999999997,-0.5333333333333332,5.576636583995997
3,1983-10-01,0.10000000000000142,2.075,-0.7605000000000004,2.8208,-2.133333333333333,6.742821012208777
4,1984-01-01,-0.5,3.0749999999999997,-0.7297999999999991,3.1928,-2.5,6.575910525569406
5,1984-04-01,-0.7999999999999989,4.35,-0.8483,3.95475,-2.6999999999999993,6.415310826109471
6,1984-07-01,-0.8000000000000007,3.3,-0.8061999999999987,4.34235,-1.9333333333333336,5.747031726681817
7,1984-10-01,-0.7000000000000002,4.475,-0.7445000000000004,3.8651,-1.2333333333333334,4.65252027915527
8,1985-01-01,-1.0999999999999996,3.6000000000000005,-0.5238000000000005,3.79475,-0.6333333333333337,4.342468309049691
9,1985-04-01,-0.5,3.3,-0.4085000000000001,3.410675,-0.13333333333333375,5.24299708894041
10,1985-07-01,-0.7000000000000002,3.1,-0.2885,3.6211999999999995,-0.2333333333333334,4.744246316019396
11,1985-10-01,-0.2999999999999998,3.35,-0.18380000000000063,3.5876749999999995,-0.2666666666666657,5.947645053694234
12,1986-01-01,-0.5,4.25,-0.31479999999999997,4.083175,-0.1999999999999993,4.844947008224115
13,1986-04-01,-0.10000000000000053,2.1,-0.1520999999999999,3.168425,-0.13333333333333286,3.9882551704154947
14,1986-07-01,-0.20000000000000018,1.8,-0.01100000000000012,2.60355,-0.23333333333333428,4.162619141068791
15,1986-10-01,0.20000000000000018,1.475,0.008000000000000007,1.92185,-0.20000000000000107,4.025327961298353
16,1987-01-01,-0.5,3.125,-0.13030000000000008,3.1575499999999996,-0.43333333333333535,4.428355099572479
17,1987-04-01,-0.5,2.475,-0.2596000000000007,2.793925,-0.9000000000000004,3.6348631346826923
18,1987-07-01,-0.3000000000000007,2.4,-0.20419999999999927,2.518025,-0.9666666666666659,3.9203164916837894
19,1987-10-01,-0.2999999999999998,0.9500000000000001,-0.12080000000000002,1.7415999999999998,-1.0,3.265902150299721
20,1988-01-01,-0.10000000000000053,0.9750000000000001,-0.13949999999999996,1.436875,-0.8999999999999986,2.8570358911419738
21,1988-04-01,0.0,1.5,-0.07500000000000018,2.476725,-0.8000000000000007,4.578885718172144
22,1988-07-01,-0.09999999999999964,2.3,-0.13309999999999977,2.6670499999999997,-0.5333333333333341,3.9339965101355454
23,1988-10-01,0.20000000000000018,0.125,0.20000000000000018,1.3628,-0.5,3.674137097810126
24,1989-01-01,-0.10000000000000053,2.05,0.19449999999999967,1.8545999999999998,-0.5,4.619655618376356
25,1989-04-01,0.20000000000000018,2.075,0.06839999999999957,2.057775,-0.2333333333333325,3.272000680410292
26,1989-07-01,0.20000000000000018,2.15,0.23529999999999962,2.03025,-0.2333333333333325,2.994526380399137
27,1989-10-01,0.20000000000000018,2.6750000000000003,0.15999999999999925,2.288675,0.0333333333333341,3.075698126888909
28,1990-01-01,0.39999999999999947,2.675,0.2778999999999998,1.803925,0.09999999999999964,2.3560493772252498
29,1990-04-01,0.6000000000000005,1.625,0.3853,2.746775,0.09999999999999964,2.7407389857018956
30,1990-07-01,0.5,2.625,0.15339999999999954,2.0871,0.4666666666666668,2.578020364251538
31,1990-10-01,0.5999999999999996,1.925,0.18229999999999968,1.551825,0.7666666666666657,1.9937678239277057
32,1991-01-01,0.5,2.275,0.1570999999999998,3.21215,1.3000000000000007,0.8056449388379044
33,1991-04-01,0.5,1.5,0.14440000000000008,2.103925,1.5,-0.4206468761670662
34,1991-07-01,0.9000000000000004,1.0250000000000001,0.3731,1.58075,1.166666666666667,0.11254329411998498
35,1991-10-01,0.5999999999999996,-0.04999999999999993,0.6632999999999996,0.16992500000000005,0.9666666666666677,0.21563873351459206
36,1992-01-01,-0.2999999999999998,1.425,0.3200000000000003,0.796375,0.7666666666666666,0.9171650559650552
37,1992-04-01,-0.39999999999999947,2.775,-0.2538,1.8762500000000002,0.7666666666666666,3.2170341691200175
38,1992-07-01,-0.20000000000000018,2.725,-0.4391999999999996,2.31555,0.7666666666666657,3.0618541155322223
39,1992-10-01,0.1999999999999993,1.075,-0.3103000000000007,2.112425,0.2666666666666666,3.6512139157145547
40,1993-01-01,-0.10000000000000053,3.375,-0.43710000000000004,2.2094750000000003,-0.23333333333333428,4.91441910777437
41,1993-04-01,-0.39999999999999947,2.2249999999999996,-0.5442999999999998,2.4116,-0.5333333333333332,3.3746298270103057
42,1993-07-01,0.10000000000000053,2.1,-0.6334,2.35875,-0.833333333333333,3.6121174108927065
43,1993-10-01,-0.2999999999999998,3.425,-0.5153999999999996,2.4869000000000003,-0.7333333333333343,3.6521540154328456
44,1994-01-01,-0.20000000000000018,3.025,-0.5022000000000002,2.9955249999999998,-0.5666666666666664,3.328300591868877
45,1994-04-01,-0.09999999999999964,2.525,-0.43710000000000004,3.0456,-0.8666666666666663,4.106359571953883
46,1994-07-01,-0.09999999999999964,2.425,-0.3498000000000001,2.6581,-0.7999999999999998,3.970656622764479
47,1994-10-01,-0.1999999999999993,2.7750000000000004,-0.3121999999999998,2.8028500000000003,-1.0,3.61048443308416
48,1995-01-01,0.09999999999999964,2.325,-0.36770000000000014,2.8638250000000003,-1.1000000000000005,3.820640116153856
