,date,GB_error_unemp,SPF_error_unemp,GB_error_cons,SPF_error_cons,diff_error_unemp,diff_error_cons
0,1983-01-01,2.054444444444445,3.8397708844444427,0.030498775023285782,0.4542571486415216,-1.7853264399999977,-0.4237583736182358
1,1983-04-01,0.489999999999999,1.328025759999996,0.6143193627952132,1.5723536826698978,-0.8380257599999971,-0.9580343198746847
2,1983-07-01,0.18777777777777804,0.01906240444444454,10.091019986781758,6.205761480123247,0.1687153733333335,3.885258506658511
3,1983-10-01,4.987777777777782,1.8846713611111088,21.78855300201777,15.38224882020716,3.103106416666673,6.4063041818106115
4,1984-01-01,4.0,3.133608040000003,12.256374508042658,11.445436828218503,0.866391959999997,0.8109376798241552
5,1984-04-01,3.610000000000001,3.4287928899999973,4.265508808444989,6.054359578984523,0.1812071100000039,-1.7888507705395345
6,1984-07-01,1.2844444444444434,1.2704295511111146,5.987964271387394,1.973130753273811,0.014014893333328837,4.0148335181135835
7,1984-10-01,0.28444444444444433,0.23895802777777747,0.031513449511365275,0.6200306960249641,0.04548641666666686,-0.5885172465135988
8,1985-01-01,0.21777777777777707,0.011997551111111095,0.5512591899431066,0.2999953460682527,0.20578022666666598,0.25126384387485395
9,1985-04-01,0.13444444444444417,0.07571669444444429,3.7752376876309066,3.3574042376189466,0.058727749999999884,0.41783345001196004
10,1985-07-01,0.21777777777777788,0.003043361111111102,2.703545947743355,1.261233027924739,0.21473441666666676,1.442312919818616
11,1985-10-01,0.0011111111111111625,0.006866884444444187,6.747759824982118,5.569458654333566,-0.005755773333333025,1.1783011706485516
12,1986-01-01,0.09000000000000043,0.013179040000000143,0.3539619425948252,0.5802965925138016,0.07682096000000029,-0.2263346499189764
13,1986-04-01,0.0011111111111110422,0.00035218777777779395,3.565507588600847,0.6721215083234983,0.0007589233333332483,2.893386080277349
14,1986-07-01,0.0011111111111111625,0.049432111111111454,5.581969205744631,2.4306965866329775,-0.048321000000000294,3.1512726191116536
15,1986-10-01,0.16000000000000092,0.04326400000000042,6.504172710180212,4.424619533667874,0.1167360000000005,2.079553176512338
16,1987-01-01,0.004444444444444183,0.09182920111111229,1.6987345155815865,1.6149456010994192,-0.0873847566666681,0.0837889144821673
17,1987-04-01,0.16000000000000028,0.41011215999999956,1.34528249119596,0.7071769463636048,-0.25011215999999925,0.6381055448323552
18,1987-07-01,0.44444444444444264,0.5813554177777781,2.3113622348857072,1.966421427648748,-0.13691097333333546,0.3449408072369593
19,1987-10-01,0.49000000000000027,0.77299264,5.363402769762874,2.3234970454083546,-0.28299263999999974,3.039905724354519
20,1988-01-01,0.6399999999999969,0.5783602499999979,3.542059095546563,2.0168569567291654,0.061639749999998994,1.5252021388173977
21,1988-04-01,0.6400000000000011,0.5256250000000009,9.479537265564396,4.4190796850260226,0.11437500000000023,5.060457580538373
22,1988-07-01,0.1877777777777788,0.16018672111111198,2.669944595135142,1.6051534595446384,0.027591056666666808,1.0647911355905038
23,1988-10-01,0.4900000000000001,0.4900000000000001,12.596374139052084,5.342279179713337,0.0,7.254094959338747
24,1989-01-01,0.1599999999999996,0.4823302499999994,6.603129997053174,7.645532572714654,-0.3223302499999998,-1.0424025756614794
25,1989-04-01,0.18777777777777713,0.09104300444444366,1.4328106289027014,1.4743440029678365,0.09673477333333347,-0.04153337406513513
26,1989-07-01,0.18777777777777713,0.21961720111110997,0.7132248071900682,0.9298289377956611,-0.03183942333333284,-0.21660413060559291
27,1989-10-01,0.027777777777777554,0.016044444444444046,0.16055898889228015,0.619405402257996,0.011733333333333509,-0.45884641336571586
28,1990-01-01,0.0899999999999999,0.03164841000000008,0.10172949976840091,0.3048413279263699,0.05835158999999982,-0.20311182815796902
29,1990-04-01,0.2500000000000009,0.08139609000000023,1.2448734842150948,3.6433468606920854e-05,0.16860391000000066,1.2448370507464879
30,1990-07-01,0.0011111111111111033,0.09813600444444481,0.0022070861750581876,0.24100280403686258,-0.09702489333333371,-0.2387957178618044
31,1990-10-01,0.027777777777777582,0.3414844011111105,0.004729013607751924,0.19531345962119506,-0.31370662333333293,-0.19058444601344313
32,1991-01-01,0.6400000000000011,1.306220410000002,2.159004295762666,5.7912666093987815,-0.666220410000001,-3.6322623136361156
33,1991-04-01,1.0,1.8376513599999997,3.6888844229303093,6.373463157933699,-0.8376513599999997,-2.68457873500339
34,1991-07-01,0.07111111111111108,0.6297480544444449,0.8325772401054082,2.1556309311910455,-0.5586369433333338,-1.3230536910856374
35,1991-10-01,0.13444444444444537,0.09203133444444525,0.07056393674323636,0.0020897454318431334,0.042413110000000115,0.06847419131139322
36,1992-01-01,1.1377777777777773,0.1995111111111108,0.2578963303829756,0.014590237620041142,0.9382666666666666,0.24330609276293447
37,1992-04-01,1.3611111111111098,1.0413522177777776,0.19539420666962432,1.7977021881628557,0.3197588933333322,-1.6023079814932313
38,1992-07-01,0.9344444444444427,1.4541144177777745,0.11347069515099571,0.5569698328603326,-0.5196699733333318,-0.4434991377093369
39,1992-10-01,0.004444444444444531,0.33289053444444516,6.636878139521316,2.3678713271259735,-0.32844609000000063,4.269006812395342
40,1993-01-01,0.017777777777777875,0.04152085444444409,2.3698111893808385,7.316722626183283,-0.023743076666666214,-4.946911436802445
41,1993-04-01,0.017777777777777903,0.00012026777777777563,1.3216487391517462,0.9274264477114993,0.017657510000000126,0.3942222914402469
42,1993-07-01,0.8711111111111115,0.03997333777777767,2.286499064324862,1.5709298666878864,0.8311377733333338,0.7155691976369756
